loan_amount,income,interest_rate,loan_to_value_ratio,debt_to_income_ratio,property_value,loan_term,applicant_age,derived_race,derived_sex,derived_ethnicity,action_taken,target
105000,126,,81.2,<20%,625000,360,35-44,Race Not Available,Male,Not Hispanic or Latino,3,0
25000,68,,46.39,20%-<30%,335000,360,55-64,White,Joint,Hispanic or Latino,3,0
275000,42,,74.526,>60%,365000,360,25-34,White,Female,Not Hispanic or Latino,3,0
125000,162,,48.477,50%-60%,655000,240,55-64,Joint,Joint,Joint,3,0
55000,36,,69.96,38,175000,300,65-74,White,Female,Not Hispanic or Latino,3,0
45000,103,,94.66,50%-60%,245000,360,25-34,White,Joint,Hispanic or Latino,3,0
85000,17,,28.169,50%-60%,285000,360,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
95000,51,,78.8,50%-60%,125000,240,65-74,Black or African American,Female,Not Hispanic or Latino,3,0
235000,84,,73.016,50%-60%,315000,360,35-44,White,Male,Not Hispanic or Latino,3,0
15000,48,,,>60%,,24,35-44,2 or more minority races,Female,Not Hispanic or Latino,3,0
55000,42,,34.533,30%-<36%,155000,180,55-64,White,Male,Not Hispanic or Latino,3,0
235000,77,,92,30%-<36%,255000,360,<25,White,Female,Joint,3,0
25000,103,,49.837,>60%,475000,480,55-64,Black or African American,Male,Not Hispanic or Latino,3,0
325000,335,,77.226,50%-60%,1555000,360,35-44,Race Not Available,Joint,Ethnicity Not Available,3,0
305000,128,,75,40,405000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
285000,69,,102.888,47,275000,360,35-44,Asian,Female,Not Hispanic or Latino,3,0
125000,35,,60.68,,205000,650,25-34,White,Male,Not Hispanic or Latino,3,0
205000,180,,101.626,41,635000,360,25-34,Black or African American,Female,Not Hispanic or Latino,3,0
315000,150,,111.853,50%-60%,285000,360,35-44,Black or African American,Joint,Not Hispanic or Latino,3,0
15000,30,,64.263,>60%,355000,60,45-54,Native Hawaiian or Other Pacific Islander,Female,Joint,3,0
85000,18,,82.221,>60%,365000,480,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
95000,119,,89.55,50%-60%,225000,120,45-54,White,Joint,Not Hispanic or Latino,3,0
45000,129,,56.26,20%-<30%,395000,360,55-64,White,Female,Not Hispanic or Latino,3,0
65000,88,,67.416,46,325000,120,35-44,Asian,Joint,Ethnicity Not Available,3,0
55000,117,,62.82,20%-<30%,335000,480,45-54,White,Joint,Not Hispanic or Latino,3,0
255000,158,,85.56,42,715000,360,55-64,White,Female,Not Hispanic or Latino,3,0
95000,72,,,>60%,,300,35-44,Race Not Available,Male,Ethnicity Not Available,3,0
115000,18,,80,>60%,145000,360,45-54,White,Female,Not Hispanic or Latino,3,0
65000,167,,73.219,20%-<30%,425000,240,25-34,White,Joint,Not Hispanic or Latino,3,0
65000,36,,63.6,>60%,255000,360,65-74,White,Female,Not Hispanic or Latino,3,0
45000,42,,8,>60%,505000,180,55-64,Black or African American,Male,Not Hispanic or Latino,3,0
555000,137,,100,46,555000,360,55-64,White,Male,Not Hispanic or Latino,3,0
55000,115,,72,50%-60%,455000,360,35-44,White,Male,Not Hispanic or Latino,3,0
35000,200,,66.98,43,465000,360,65-74,Asian,Male,Not Hispanic or Latino,3,0
45000,135,,48.229,30%-<36%,355000,360,35-44,White,Female,Hispanic or Latino,3,0
55000,265,,80.687,<20%,685000,480,35-44,Black or African American,Male,Not Hispanic or Latino,3,0
15000,31,,68.511,>60%,235000,360,>74,White,Male,Not Hispanic or Latino,3,0
105000,45,,64.85,>60%,325000,480,45-54,White,Joint,Not Hispanic or Latino,3,0
455000,162,,64.286,40,705000,360,45-54,White,Joint,Hispanic or Latino,3,0
475000,92,,78.333,>60%,605000,360,45-54,Race Not Available,Female,Ethnicity Not Available,3,0
285000,71,,80,50%-60%,345000,360,35-44,White,Female,Not Hispanic or Latino,3,0
255000,900,,71.667,50%-60%,7805000,180,65-74,White,Male,Not Hispanic or Latino,3,0
425000,108,,80,37,525000,360,35-44,White,Female,Not Hispanic or Latino,3,0
115000,111,,78.685,30%-<36%,205000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
25000,45,,44.444,<20%,45000,120,55-64,White,Female,Not Hispanic or Latino,3,0
25000,71,,,39,,300,55-64,White,Joint,Not Hispanic or Latino,3,0
25000,23,,56,50%-60%,205000,360,55-64,2 or more minority races,Male,Not Hispanic or Latino,3,0
305000,65,,75.13,>60%,395000,360,45-54,Asian,Joint,Not Hispanic or Latino,3,0
155000,630,,130.087,<20%,635000,480,35-44,White,Male,Not Hispanic or Latino,3,0
135000,200,,49.295,20%-<30%,305000,180,65-74,White,Male,Hispanic or Latino,3,0
345000,69,,75.342,50%-60%,465000,360,25-34,White,Male,Not Hispanic or Latino,3,0
55000,16,,36.39,>60%,135000,360,55-64,Black or African American,Male,Not Hispanic or Latino,3,0
35000,52,,78.287,30%-<36%,135000,360,55-64,White,Male,Not Hispanic or Latino,3,0
5000,114,Exempt,Exempt,Exempt,Exempt,Exempt,65-74,White,Joint,Not Hispanic or Latino,3,0
25000,85,,62.483,50%-60%,355000,60,25-34,White,Female,Hispanic or Latino,3,0
45000,11,,11.429,>60%,355000,360,55-64,Black or African American,Male,Not Hispanic or Latino,3,0
605000,,,,,,360,45-54,White,Female,Not Hispanic or Latino,3,0
245000,47,,,>60%,395000,360,55-64,Asian,Female,Not Hispanic or Latino,3,0
45000,58,,54.4,49,215000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
85000,42,,84.714,>60%,705000,480,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
25000,53,Exempt,Exempt,Exempt,Exempt,Exempt,35-44,Joint,Joint,Ethnicity Not Available,3,0
35000,142,,38.1,44,935000,360,65-74,Asian,Female,Not Hispanic or Latino,3,0
125000,37,,45.455,>60%,265000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
225000,120,,60,50%-60%,375000,84,65-74,White,Male,Not Hispanic or Latino,3,0
75000,0,,89.996,<20%,275000,480,35-44,2 or more minority races,Male,Not Hispanic or Latino,3,0
65000,33,,79.412,50%-60%,85000,360,65-74,White,Male,Not Hispanic or Latino,3,0
165000,52,,80,49,205000,360,55-64,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
135000,155,,279.3,20%-<30%,55000,360,55-64,White,Female,Not Hispanic or Latino,3,0
15000,129,,80.899,20%-<30%,175000,360,35-44,White,Joint,Not Hispanic or Latino,3,0
125000,149,,76.04,30%-<36%,645000,360,25-34,White,Joint,Not Hispanic or Latino,3,0
15000,70,,59.576,30%-<36%,275000,240,25-34,Black or African American,Male,Not Hispanic or Latino,3,0
25000,147,,,>60%,,60,45-54,White,Male,Not Hispanic or Latino,3,0
65000,185,,77.094,30%-<36%,635000,120,45-54,White,Joint,Joint,3,0
55000,60,,96.89,>60%,205000,360,45-54,White,Male,Not Hispanic or Latino,3,0
105000,46,,44.638,>60%,825000,360,45-54,Asian,Male,Not Hispanic or Latino,3,0
55000,173,,90.112,40,245000,120,25-34,White,Joint,Joint,3,0
175000,85,,68.403,30%-<36%,265000,360,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
545000,294,,80,<20%,675000,360,45-54,Joint,Joint,Not Hispanic or Latino,3,0
185000,71,,,50%-60%,,360,35-44,Asian,Female,Hispanic or Latino,3,0
95000,145,,78.798,49,635000,360,35-44,White,Female,Not Hispanic or Latino,3,0
65000,65,,65.217,20%-<30%,95000,360,45-54,White,Female,Not Hispanic or Latino,3,0
105000,78,,56.497,50%-60%,175000,360,65-74,White,Female,Not Hispanic or Latino,3,0
105000,83,,87.37,50%-60%,585000,360,65-74,White,Joint,Not Hispanic or Latino,3,0
255000,476,,60.4,37,955000,360,35-44,White,Male,Not Hispanic or Latino,3,0
15000,28,,27.041,<20%,195000,240,>74,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
65000,30,,45.517,50%-60%,145000,360,65-74,White,Joint,Not Hispanic or Latino,3,0
105000,-2,,98.188,,115000,360,25-34,White,Male,Not Hispanic or Latino,3,0
65000,120,,91.67,>60%,605000,360,35-44,American Indian or Alaska Native,Male,Hispanic or Latino,3,0
45000,185,,78.895,50%-60%,405000,72,55-64,White,Joint,Not Hispanic or Latino,3,0
15000,56,,80,30%-<36%,135000,360,35-44,White,Male,Not Hispanic or Latino,3,0
275000,75,,82.493,50%-60%,335000,360,35-44,White,Joint,Not Hispanic or Latino,3,0
55000,271,,106.117,30%-<36%,505000,,35-44,White,Joint,Not Hispanic or Latino,3,0
105000,104,,57.107,<20%,175000,180,65-74,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
305000,60,,,,,360,25-34,White,Sex Not Available,Not Hispanic or Latino,3,0
75000,94,,67.633,20%-<30%,215000,360,25-34,White,Male,Not Hispanic or Latino,3,0
55000,96,,89.276,>60%,325000,180,35-44,White,Male,Not Hispanic or Latino,3,0
85000,46,,94.681,30%-<36%,95000,360,<25,White,Male,Not Hispanic or Latino,3,0
325000,80,,100,39,325000,360,55-64,White,Male,Hispanic or Latino,3,0
105000,120,,76.44,>60%,465000,360,45-54,Race Not Available,Male,Hispanic or Latino,3,0
65000,130,,77.857,40,425000,120,45-54,White,Female,Not Hispanic or Latino,3,0
245000,215,,103.3,<20%,245000,360,55-64,Black or African American,Male,Not Hispanic or Latino,3,0
185000,50,,83.661,50%-60%,225000,360,65-74,Race Not Available,Male,Ethnicity Not Available,3,0
255000,441,,74.133,<20%,755000,360,35-44,White,Female,Not Hispanic or Latino,3,0
625000,153,,95,50%-60%,655000,360,35-44,Black or African American,Joint,Not Hispanic or Latino,3,0
85000,50,,,<20%,,300,55-64,White,Male,Not Hispanic or Latino,3,0
85000,63,,80,36,105000,360,25-34,White,Joint,Not Hispanic or Latino,3,0
75000,150,,,,95000,,25-34,White,Female,Not Hispanic or Latino,3,0
155000,115,,70.65,>60%,675000,360,35-44,White,Female,Not Hispanic or Latino,3,0
275000,103,,100.975,45,285000,360,25-34,White,Joint,Not Hispanic or Latino,3,0
75000,23,,9.38,>60%,805000,300,45-54,White,Female,Not Hispanic or Latino,3,0
305000,205,,101.36,50%-60%,1655000,360,55-64,White,Male,Not Hispanic or Latino,3,0
25000,114,,40.702,30%-<36%,555000,480,35-44,White,Female,Hispanic or Latino,3,0
35000,89,,67.718,>60%,555000,360,35-44,Asian,Joint,Not Hispanic or Latino,3,0
35000,78,,28.33,30%-<36%,485000,360,35-44,Race Not Available,Male,Hispanic or Latino,3,0
35000,89,,18.585,<20%,205000,300,65-74,Black or African American,Male,Not Hispanic or Latino,3,0
45000,45,,68.9,>60%,305000,300,45-54,White,Female,Hispanic or Latino,3,0
55000,176,,70.66,30%-<36%,625000,180,45-54,White,Male,Hispanic or Latino,3,0
1005000,125,,67.26,>60%,3205000,300,35-44,Asian,Male,Not Hispanic or Latino,3,0
105000,150,,51.82,50%-60%,335000,360,55-64,Black or African American,Male,Not Hispanic or Latino,3,0
105000,310,,66.5,20%-<30%,1005000,360,45-54,Black or African American,Joint,Joint,3,0
55000,39,,33.33,30%-<36%,155000,300,65-74,White,Male,Not Hispanic or Latino,3,0
55000,60,,59.62,50%-60%,275000,360,35-44,White,Female,Hispanic or Latino,3,0
55000,100,Exempt,Exempt,Exempt,Exempt,Exempt,55-64,Black or African American,Female,Not Hispanic or Latino,3,0
195000,93,,98,<20%,205000,360,25-34,Black or African American,Female,Not Hispanic or Latino,3,0
55000,200,,83.39,30%-<36%,905000,360,35-44,White,Male,Not Hispanic or Latino,3,0
115000,0,,52.71,>60%,455000,360,55-64,Race Not Available,Female,Hispanic or Latino,3,0
105000,98,,71.627,30%-<36%,485000,240,35-44,White,Joint,Not Hispanic or Latino,3,0
115000,94,,89.07,>60%,465000,360,35-44,White,Joint,Not Hispanic or Latino,3,0
105000,243,,68.37,50%-60%,585000,360,35-44,White,Joint,Not Hispanic or Latino,3,0
115000,140,,80,50%-60%,145000,360,65-74,2 or more minority races,Female,Ethnicity Not Available,3,0
145000,168,,72.23,41,1205000,360,35-44,Asian,Male,Not Hispanic or Latino,3,0
545000,397,,71.45,45,2095000,360,45-54,White,Joint,Ethnicity Not Available,3,0
75000,157,,72.21,20%-<30%,465000,360,45-54,White,Male,Not Hispanic or Latino,3,0
35000,48,,15,30%-<36%,205000,180,65-74,Black or African American,Male,Not Hispanic or Latino,3,0
105000,81,,57.429,>60%,705000,360,35-44,White,Joint,Joint,3,0
125000,106,,97.918,>60%,455000,20,35-44,White,Joint,Not Hispanic or Latino,3,0
25000,70,,88.31,42,325000,360,25-34,White,Male,Not Hispanic or Latino,3,0
25000,50,,89.928,49,135000,360,35-44,White,Female,Not Hispanic or Latino,3,0
75000,114,,17.097,<20%,435000,480,25-34,Race Not Available,Male,Ethnicity Not Available,3,0
35000,72,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Male,Not Hispanic or Latino,3,0
305000,267,,,,1525000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
65000,230,,80,50%-60%,595000,360,25-34,Black or African American,Male,Not Hispanic or Latino,3,0
35000,31,,66.667,30%-<36%,45000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
75000,74,,92.74,>60%,445000,360,45-54,Race Not Available,Male,Hispanic or Latino,3,0
85000,81,,113.333,50%-60%,75000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
115000,200,,65.333,50%-60%,825000,360,55-64,White,Male,Not Hispanic or Latino,3,0
215000,247,,35.12,50%-60%,2995000,30,55-64,White,Male,Not Hispanic or Latino,3,0
175000,,,91.978,20%-<30%,655000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
55000,53,,20.833,41,245000,360,35-44,White,Female,Not Hispanic or Latino,3,0
45000,132,,99.85,45,365000,180,35-44,White,Female,Not Hispanic or Latino,3,0
15000,35,,30,<20%,55000,84,25-34,White,Male,Hispanic or Latino,3,0
55000,70,,44.49,30%-<36%,225000,360,55-64,Race Not Available,Male,Not Hispanic or Latino,3,0
25000,,,,,,120,>74,White,Female,Not Hispanic or Latino,3,0
35000,67,,7.143,>60%,425000,84,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
25000,50,,80.622,47,135000,360,55-64,White,Female,Not Hispanic or Latino,3,0
185000,,,,,875000,,45-54,White,Male,Joint,3,0
55000,163,,89.757,40,385000,180,65-74,Race Not Available,Joint,Ethnicity Not Available,3,0
25000,20,,15.67,50%-60%,315000,360,65-74,White,Female,Hispanic or Latino,3,0
65000,150,,97.479,42,355000,480,25-34,White,Male,Not Hispanic or Latino,3,0
55000,39,,79.545,>60%,175000,360,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
255000,150,,125,>60%,625000,360,<25,Asian,Male,Not Hispanic or Latino,3,0
75000,97,,70.695,50%-60%,375000,360,55-64,White,Male,Hispanic or Latino,3,0
105000,47,,96.5,45,105000,360,<25,White,Male,Not Hispanic or Latino,3,0
55000,155,,50,<20%,605000,360,45-54,Joint,Joint,Not Hispanic or Latino,3,0
115000,9,,66.58,>60%,685000,360,45-54,White,Male,Not Hispanic or Latino,3,0
805000,335,,50,30%-<36%,1605000,360,55-64,White,Male,Not Hispanic or Latino,3,0
175000,149,,73.876,50%-60%,355000,240,65-74,Black or African American,Female,Not Hispanic or Latino,3,0
55000,202,,63.33,>60%,665000,360,45-54,White,Joint,Hispanic or Latino,3,0
45000,135,,16.667,36,245000,300,35-44,White,Male,Not Hispanic or Latino,3,0
205000,66,,37.383,>60%,535000,360,55-64,Native Hawaiian or Other Pacific Islander,Joint,Not Hispanic or Latino,3,0
65000,98,,67.821,>60%,505000,180,55-64,Black or African American,Female,Not Hispanic or Latino,3,0
335000,83,,92.96,46,355000,360,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
65000,75,,60.316,50%-60%,345000,360,25-34,Black or African American,Male,Not Hispanic or Latino,3,0
35000,50,,,20%-<30%,,,65-74,Black or African American,Male,Not Hispanic or Latino,3,0
15000,47,,63.559,>60%,385000,240,55-64,White,Female,Not Hispanic or Latino,3,0
185000,172,,66.049,>60%,275000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
75000,97,,66.43,>60%,475000,240,55-64,Race Not Available,Male,Ethnicity Not Available,3,0
95000,20,,75,48,125000,360,55-64,White,Female,Not Hispanic or Latino,3,0
305000,105,,101.409,48,305000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
295000,49,,,>60%,335000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
275000,100,,79.3003,50%-60%,345000,360,35-44,White,Joint,Hispanic or Latino,3,0
35000,241,,28,<20%,125000,120,35-44,Black or African American,Joint,Not Hispanic or Latino,3,0
45000,38,,8.89,43,455000,300,45-54,White,Female,Not Hispanic or Latino,3,0
105000,28,,18.02,>60%,555000,360,55-64,White,Male,Not Hispanic or Latino,3,0
95000,379,,77.076,<20%,615000,360,65-74,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
255000,59,,26.66,>60%,1475000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
35000,32,,32.86,50%-60%,155000,300,>74,White,Joint,Not Hispanic or Latino,3,0
55000,43,,88.107,>60%,305000,180,25-34,Race Not Available,Male,Ethnicity Not Available,3,0
105000,125,,57.74,39,475000,360,45-54,Race Not Available,Joint,Hispanic or Latino,3,0
105000,20,,4.26,>60%,2345000,360,55-64,White,Female,Not Hispanic or Latino,3,0
105000,160,,35.042,38,655000,180,35-44,Race Not Available,Male,Hispanic or Latino,3,0
55000,,,,,,120,>74,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
25000,158,,61.25,30%-<36%,405000,60,35-44,Black or African American,Male,Not Hispanic or Latino,3,0
95000,125,,89.556,>60%,845000,240,35-44,White,Male,Not Hispanic or Latino,3,0
155000,112,,82.353,20%-<30%,855000,360,35-44,Race Not Available,Male,Hispanic or Latino,3,0
105000,82,,46.68,50%-60%,1105000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
165000,28,Exempt,Exempt,Exempt,Exempt,Exempt,65-74,White,Male,Not Hispanic or Latino,3,0
2955000,830,,75,50%-60%,3705000,360,35-44,White,Male,Not Hispanic or Latino,3,0
25000,38,,5.88,<20%,425000,360,>74,White,Male,Not Hispanic or Latino,3,0
105000,75,,101.67,50%-60%,325000,360,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
285000,106,,75,30%-<36%,375000,240,35-44,White,Female,Hispanic or Latino,3,0
465000,-90,,69.925,>60%,665000,360,45-54,White,Male,Not Hispanic or Latino,3,0
145000,198,,,,,360,45-54,White,Male,Not Hispanic or Latino,3,0
25000,18,,31.1,>60%,405000,360,65-74,White,Male,Hispanic or Latino,3,0
55000,48,,80,20%-<30%,65000,240,<25,White,Female,Not Hispanic or Latino,3,0
55000,148,,72.52,30%-<36%,665000,360,45-54,White,Joint,Hispanic or Latino,3,0
305000,295,,91.86,36,735000,360,35-44,Asian,Joint,Not Hispanic or Latino,3,0
355000,790,,51.6,<20%,2145000,360,65-74,Asian,Joint,Not Hispanic or Latino,3,0
75000,34,,28.376,42,255000,360,25-34,Black or African American,Male,Not Hispanic or Latino,3,0
205000,156,,42.11,20%-<30%,475000,360,35-44,Asian,Male,Not Hispanic or Latino,3,0
55000,21,,16.67,>60%,305000,300,>74,White,Male,Not Hispanic or Latino,3,0
405000,133,,42.316,50%-60%,955000,360,35-44,White,Female,Not Hispanic or Latino,3,0
55000,94,,,,,120,45-54,White,Joint,Not Hispanic or Latino,3,0
225000,85,,40,50%-60%,255000,300,45-54,Native Hawaiian or Other Pacific Islander,Male,Hispanic or Latino,3,0
35000,60,,,>60%,,84,35-44,White,Female,Ethnicity Not Available,3,0
45000,50,Exempt,Exempt,Exempt,Exempt,Exempt,55-64,White,Female,Hispanic or Latino,3,0
65000,34,,,50%-60%,,300,25-34,White,Male,Not Hispanic or Latino,3,0
365000,170,,60,44,605000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
55000,36,,34.69,>60%,355000,360,45-54,Black or African American,Female,Not Hispanic or Latino,3,0
195000,63,,80,41,245000,360,55-64,Race Not Available,Joint,Ethnicity Not Available,3,0
105000,69,,15.153,36,665000,360,65-74,White,Female,Not Hispanic or Latino,3,0
635000,254,Exempt,Exempt,Exempt,Exempt,Exempt,25-34,White,Male,Not Hispanic or Latino,3,0
105000,53,,66.276,>60%,355000,360,65-74,White,Male,Not Hispanic or Latino,3,0
55000,300,,107.75,20%-<30%,555000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
135000,56,,81.25,42,165000,360,65-74,Black or African American,Female,Not Hispanic or Latino,3,0
195000,65,,90,46,225000,360,35-44,Black or African American,Joint,Not Hispanic or Latino,3,0
285000,,,0.75,,375000,360,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
105000,247,,95.941,30%-<36%,775000,180,45-54,White,Female,Not Hispanic or Latino,3,0
105000,120,,91.032,50%-60%,525000,,45-54,White,Male,Hispanic or Latino,3,0
95000,239,,79.21,20%-<30%,435000,360,45-54,White,Male,Not Hispanic or Latino,3,0
35000,54,,58.333,38,65000,120,45-54,White,Male,Not Hispanic or Latino,3,0
55000,62,,65.888,49,325000,360,45-54,Race Not Available,Male,Hispanic or Latino,3,0
25000,51,,71.009,50%-60%,335000,180,25-34,White,Joint,Ethnicity Not Available,3,0
85000,60,,79.482,50%-60%,485000,240,55-64,White,Male,Ethnicity Not Available,3,0
285000,175,,80,47,355000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
45000,67,,79.942,50%-60%,255000,240,35-44,Joint,Joint,Not Hispanic or Latino,3,0
25000,70,,84.531,36,185000,360,35-44,White,Male,Not Hispanic or Latino,3,0
255000,103,,76.923,50%-60%,325000,180,35-44,Race Not Available,Female,Not Hispanic or Latino,3,0
85000,124,,52.19,50%-60%,655000,360,45-54,Black or African American,Female,Not Hispanic or Latino,3,0
85000,100,,19.51,50%-60%,415000,360,45-54,Race Not Available,Joint,Not Hispanic or Latino,3,0
65000,106,,61.424,36,525000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
15000,41,,48.126,>60%,285000,300,45-54,White,Female,Not Hispanic or Latino,3,0
355000,158,,100,38,345000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
295000,85,,111.321,42,265000,360,<25,White,Male,Hispanic or Latino,3,0
65000,137,,64.27,50%-60%,325000,,45-54,White,Joint,Not Hispanic or Latino,3,0
45000,0,,,,,300,35-44,White,Joint,Hispanic or Latino,3,0
245000,44,,88.189,>60%,285000,360,65-74,White,Male,Not Hispanic or Latino,3,0
205000,111,,63.131,48,325000,360,65-74,Black or African American,Joint,Not Hispanic or Latino,3,0
155000,167,,65.679,>60%,1205000,360,35-44,White,Joint,Joint,3,0
65000,,,71.865,48,435000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
475000,82,,76.748,50%-60%,615000,360,45-54,Asian,Female,Not Hispanic or Latino,3,0
195000,40,,37.328,>60%,505000,240,35-44,Black or African American,Male,Not Hispanic or Latino,3,0
205000,107,,84.294,>60%,755000,240,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
105000,91,,52.14,30%-<36%,355000,300,55-64,White,Joint,Not Hispanic or Latino,3,0
35000,115,,73.946,<20%,465000,72,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
35000,23,,72.752,>60%,305000,360,45-54,White,Male,Not Hispanic or Latino,3,0
55000,132,,98.663,50%-60%,565000,240,45-54,Asian,Female,Not Hispanic or Latino,3,0
125000,44,,100,>60%,125000,300,45-54,White,Male,Not Hispanic or Latino,3,0
85000,79,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Female,Not Hispanic or Latino,3,0
1195000,227,,66.111,>60%,1805000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
55000,145,,48.57,>60%,355000,360,35-44,White,Male,Not Hispanic or Latino,3,0
95000,61,,30,>60%,305000,360,55-64,White,Male,Hispanic or Latino,3,0
25000,86,,86.62,20%-<30%,185000,360,35-44,American Indian or Alaska Native,Male,Not Hispanic or Latino,3,0
215000,69,,120,40,185000,360,<25,White,Joint,Not Hispanic or Latino,3,0
35000,66,,21.89,20%-<30%,165000,360,55-64,White,Female,Joint,3,0
15000,72,,76.226,>60%,325000,48,25-34,White,Male,Hispanic or Latino,3,0
65000,38,,,48,,120,35-44,White,Female,Not Hispanic or Latino,3,0
255000,346,,36.501,40,2205000,360,55-64,White,Male,Not Hispanic or Latino,3,0
35000,660,,25.18,<20%,1675000,360,65-74,White,Female,Hispanic or Latino,3,0
55000,110,,87.16,>60%,355000,360,35-44,Race Not Available,Female,Ethnicity Not Available,3,0
75000,57,,53.611,>60%,545000,360,55-64,Race Not Available,Female,Ethnicity Not Available,3,0
115000,38,,97,46,125000,360,<25,Race Not Available,Female,Ethnicity Not Available,3,0
105000,26,Exempt,Exempt,Exempt,Exempt,Exempt,65-74,White,Female,Not Hispanic or Latino,3,0
475000,,,,,,,25-34,White,Male,Hispanic or Latino,3,0
135000,90,,87.396,>60%,415000,480,35-44,White,Male,Hispanic or Latino,3,0
525000,187,,100,50%-60%,525000,360,35-44,Race Not Available,Male,Hispanic or Latino,3,0
105000,10,,78.83,>60%,395000,360,25-34,Black or African American,Female,Not Hispanic or Latino,3,0
85000,32,,55,36,155000,480,65-74,White,Male,Not Hispanic or Latino,3,0
155000,101,,78.731,>60%,2655000,300,55-64,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
5000,120,,95.125,20%-<30%,185000,84,35-44,White,Joint,Not Hispanic or Latino,3,0
105000,19,,90.79,>60%,665000,360,55-64,Asian,Male,Not Hispanic or Latino,3,0
35000,205,,47.2,<20%,495000,240,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
55000,27,,69.267,>60%,245000,360,>74,White,Male,Not Hispanic or Latino,3,0
625000,160,,,,,360,65-74,White,Joint,Joint,3,0
155000,194,,62.222,<20%,455000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
65000,37,,33.25,<20%,205000,180,25-34,White,Male,Not Hispanic or Latino,3,0
355000,78,,58.333,>60%,605000,480,25-34,White,Female,Not Hispanic or Latino,3,0
35000,52,,30.822,39,485000,360,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
205000,126,,,,,360,<25,White,Joint,Not Hispanic or Latino,3,0
235000,45,,95,>60%,255000,360,55-64,Black or African American,Joint,Not Hispanic or Latino,3,0
205000,83,,78.431,20%-<30%,255000,360,55-64,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
85000,66,,93.757,>60%,525000,240,35-44,Black or African American,Male,Not Hispanic or Latino,3,0
45000,84,,57.513,20%-<30%,75000,240,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
485000,143,,96.597,50%-60%,505000,360,35-44,White,Joint,Joint,3,0
55000,,,99.561,50%-60%,235000,360,35-44,White,Male,Not Hispanic or Latino,3,0
215000,82,,80,>60%,275000,324,35-44,White,Female,Not Hispanic or Latino,3,0
75000,62,,44.643,>60%,165000,180,55-64,Black or African American,Female,Not Hispanic or Latino,3,0
45000,102,,80.56,>60%,545000,360,45-54,Race Not Available,Male,Hispanic or Latino,3,0
65000,330,,77.248,20%-<30%,835000,360,45-54,White,Male,Not Hispanic or Latino,3,0
35000,83,,76.524,50%-60%,295000,240,25-34,Race Not Available,Male,Hispanic or Latino,3,0
875000,,,72.92,,1205000,36,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
595000,83,,,>60%,605000,360,45-54,White,Male,Not Hispanic or Latino,3,0
65000,109,,50.305,>60%,765000,360,45-54,Race Not Available,Female,Ethnicity Not Available,3,0
195000,56,,80,44,305000,360,35-44,White,Female,Not Hispanic or Latino,3,0
