loan_amount,income,interest_rate,loan_to_value_ratio,debt_to_income_ratio,property_value,loan_term,applicant_age,derived_race,derived_sex,derived_ethnicity,action_taken,target
65000,109,,62.406,50%-60%,515000,360,35-44,White,Male,Not Hispanic or Latino,3,0
75000,54,,39.876,>60%,325000,360,65-74,Black or African American,Male,Ethnicity Not Available,3,0
25000,149,,75.947,50%-60%,355000,300,>74,White,Joint,Not Hispanic or Latino,3,0
55000,60,,,,,360,55-64,White,Joint,Not Hispanic or Latino,3,0
215000,234,,59.49,20%-<30%,355000,240,<25,Race Not Available,Joint,Ethnicity Not Available,3,0
135000,104,,75.14,47,295000,360,<25,White,Male,Hispanic or Latino,3,0
55000,62,,75.562,<20%,205000,180,35-44,White,Male,Hispanic or Latino,3,0
35000,80,,84.551,>60%,505000,36,25-34,White,Female,Hispanic or Latino,3,0
25000,137,,89.389,50%-60%,315000,300,45-54,Joint,Joint,Not Hispanic or Latino,3,0
605000,158,,92.308,48,655000,360,45-54,Black or African American,Female,Not Hispanic or Latino,3,0
105000,35,,73.333,50%-60%,135000,360,>74,Race Not Available,Female,Ethnicity Not Available,3,0
265000,142,,58.862,44,455000,360,55-64,Black or African American,Male,Not Hispanic or Latino,3,0
335000,118,,87.147,>60%,385000,360,45-54,Black or African American,Joint,Not Hispanic or Latino,3,0
55000,182,,93.89,20%-<30%,345000,360,55-64,White,Male,Hispanic or Latino,3,0
245000,136,,90,43,275000,360,45-54,White,Male,Not Hispanic or Latino,3,0
75000,103,,76.811,>60%,365000,480,35-44,White,Joint,Not Hispanic or Latino,3,0
55000,62,,10.792,30%-<36%,465000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
155000,101,,45.029,>60%,1005000,96,55-64,White,Joint,Not Hispanic or Latino,3,0
105000,64,,71.173,>60%,605000,240,65-74,White,Joint,Not Hispanic or Latino,3,0
255000,468,,93.278,20%-<30%,615000,240,35-44,White,Joint,Ethnicity Not Available,3,0
35000,56,,90.54,>60%,145000,360,45-54,White,Male,Not Hispanic or Latino,3,0
315000,98,,95,50%-60%,335000,360,35-44,Black or African American,Female,Ethnicity Not Available,3,0
415000,156,,78.19,20%-<30%,525000,360,25-34,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
35000,98,,85,49,245000,360,45-54,American Indian or Alaska Native,Female,Not Hispanic or Latino,3,0
25000,109,,73.43,20%-<30%,395000,120,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
105000,101,,45.363,49,1085000,240,55-64,White,Male,Not Hispanic or Latino,3,0
65000,13,,20.012,>60%,305000,240,55-64,Race Not Available,Female,Hispanic or Latino,3,0
155000,53,,80,>60%,195000,360,25-34,White,Female,Not Hispanic or Latino,3,0
115000,38,,69.99,50%-60%,165000,360,35-44,Race Not Available,Male,Hispanic or Latino,3,0
